"unigram","bigram","trigram","freq"
"thanks","for","the",249
"a","lot","of",204
"one","of","the",196
"to","be","a",149
"i","have","a",138
"i","want","to",138
"looking","forward","to",122
"it","was","a",106
"going","to","be",105
"cant","wait","to",103
"i","have","to",101
"the","end","of",99
"some","of","the",98
"thank","you","for",96
"be","able","to",95
"for","the","follow",94
"im","going","to",94
"i","need","to",93
"out","of","the",92
"i","dont","know",90
"i","love","you",86
"as","well","as",85
"there","is","a",82
"it","is","a",80
"i","think","i",79
"part","of","the",79
"in","the","world",75
"if","you","are",74
"is","going","to",74
"this","is","a",74
"a","couple","of",73
"i","dont","think",73
"dont","want","to",68
"the","first","time",68
"i","had","to",67
"i","feel","like",66
"the","rest","of",66
"of","the","day",65
"this","is","the",65
"end","of","the",63
"have","a","great",63
"you","want","to",63
"to","go","to",62
"you","have","a",62
"i","have","been",61
"the","fact","that",61
"you","need","to",61
"one","of","my",60
"there","is","no",60
"when","i","was",60
"you","have","to",60
"at","the","end",59
"i","dont","want",59
"it","would","be",59
"to","see","you",59
"i","had","a",58
"all","of","the",57
"i","wanted","to",57
"a","bit","of",55
"do","you","think",54
"for","the","first",53
"it","will","be",53
"one","of","those",53
"to","have","a",53
"in","order","to",52
"back","to","the",51
"i","am","not",51
"if","you","want",51
"was","going","to",51
"look","forward","to",50
"as","long","as",49
"what","do","you",49
"check","it","out",48
"if","you","dont",48
"want","to","be",48
"a","little","bit",47
"to","see","the",47
"if","you","have",46
"to","be","the",46
"to","do","with",46
"i","will","be",45
"in","the","morning",45
"most","of","the",45
"at","the","same",44
"for","the","rt",44
"i","cant","wait",44
"would","love","to",44
"and","it","was",43
"happy","mothers","day",43
"have","to","be",43
"i","dont","have",43
"of","the","world",43
"the","same","time",43
"we","need","to",43
"at","the","time",42
"had","a","great",42
"i","do","not",42
"in","my","life",42
"are","going","to",41
"i","am","a",41
"i","think","the",41
"is","not","a",41
"rest","of","the",41
"i","wish","i",40
"let","me","know",40
"thanks","for","following",40
"to","get","a",40
"to","make","a",40
"and","i","am",39
"in","the","middle",39
"on","the","other",39
"side","of","the",39
"you","for","the",39
"but","i","think",38
"but","it","is",38
"how","do","you",38
"in","front","of",38
"so","i","can",38
"the","united","states",38
"would","like","to",38
"a","chance","to",37
"check","out","the",37
"i","am","so",37
"i","decided","to",37
"i","know","i",37
"is","one","of",37
"of","the","year",37
"would","be","a",37
"you","so","much",37
"all","the","time",36
"at","a","time",36
"back","in","the",36
"but","i","dont",36
"cant","wait","for",36
"go","to","the",36
"it","comes","to",36
"to","take","a",36
"when","it","comes",36
"a","great","day",35
"a","number","of",35
"i","am","going",35
"i","need","a",35
"i","think","it",35
"i","was","a",35
"i","would","have",35
"in","love","with",35
"in","the","s",35
"it","is","not",35
"it","was","the",35
"need","to","be",35
"that","i","have",35
"there","was","a",35
"to","make","it",35
"we","have","a",35
"all","the","way",34
"and","i","have",34
"because","of","the",34
"i","have","no",34
"i","think","its",34
"it","is","the",34
"up","in","the",34
"wait","to","see",34
"am","going","to",33
"do","you","have",33
"the","number","of",33
"to","be","in",33
"and","i","will",32
"as","much","as",32
"be","sure","to",32
"have","a","good",32
"i","hope","you",32
"i","love","the",32
"i","was","just",32
"in","the","same",32
"look","at","the",32
"needs","to","be",32
"of","the","most",32
"on","top","of",32
"to","get","the",32
"what","are","you",32
"for","the","next",31
"i","know","that",31
"is","the","best",31
"it","to","the",31
"looking","for","a",31
"not","going","to",31
"of","my","life",31
"the","only","one",31
"will","be","a",31
"you","dont","have",31
"you","know","what",31
"at","this","point",30
"for","a","few",30
"know","how","to",30
"thanks","so","much",30
"that","it","is",30
"the","middle","of",30
"to","say","that",30
"by","the","way",29
"dont","have","to",29
"for","a","while",29
"for","me","to",29
"how","are","you",29
"i","dont","like",29
"i","got","a",29
"i","still","have",29
"is","a","good",29
"out","of","my",29
"so","much","for",29
"to","be","able",29
"we","had","a",29
"and","i","think",28
"but","it","was",28
"by","the","time",28
"for","the","day",28
"for","you","to",28
"have","a","lot",28
"have","to","do",28
"have","you","ever",28
"i","went","to",28
"in","the","first",28
"is","the","only",28
"of","the","best",28
"thank","you","so",28
"there","will","be",28
"you","are","not",28
"a","bunch","of",27
"all","of","my",27
"and","i","was",27
"as","soon","as",27
"bit","of","a",27
"go","back","to",27
"i","miss","you",27
"i","thought","it",27
"i","would","love",27
"im","not","sure",27
"its","going","to",27
"sounds","like","a",27
"supposed","to","be",27
"that","i","am",27
"that","would","be",27
"to","do","it",27
"to","see","what",27
"you","can","do",27
"a","great","time",26
"a","part","of",26
"and","in","the",26
"and","it","is",26
"be","a","good",26
"but","i","have",26
"do","you","know",26
"going","to","have",26
"i","used","to",26
"in","the","end",26
"is","in","the",26
"it","has","been",26
"it","in","the",26
"its","time","to",26
"need","to","get",26
"please","follow","me",26
"that","you","are",26
"the","back","of",26
"to","all","the",26
"to","get","to",26
"to","have","you",26
"want","to","do",26
"we","have","to",26
"went","to","the",26
"what","to","do",26
"you","know","that",26
"a","long","time",25
"according","to","the",25
"as","it","is",25
"be","in","the",25
"have","no","idea",25
"in","the","past",25
"it","looks","like",25
"of","all","the",25
"on","the","floor",25
"on","the","way",25
"one","of","our",25
"seems","to","be",25
"so","you","can",25
"the","name","of",25
"the","same","thing",25
"the","same","way",25
"the","time","to",25
"thought","it","was",25
"to","check","out",25
"to","deal","with",25
"to","think","about",25
"was","able","to",25
"what","a","great",25
"you","can","see",25
"as","a","result",24
"dont","forget","to",24
"going","to","the",24
"i","can","get",24
"i","had","the",24
"i","love","my",24
"i","was","going",24
"id","like","to",24
"if","i","can",24
"is","a","great",24
"let","us","know",24
"more","and","more",24
"on","my","way",24
"that","i","was",24
"the","other","hand",24
"the","time","i",24
"to","do","the",24
"to","figure","out",24
"to","find","a",24
"trying","to","get",24
"up","with","a",24
"you","are","the",24
"a","few","days",23
"a","few","weeks",23
"a","piece","of",23
"all","of","us",23
"for","the","last",23
"for","the","mention",23
"has","to","be",23
"have","been","a",23
"i","just","got",23
"i","think","im",23
"i","wonder","if",23
"it","was","great",23
"some","of","my",23
"to","look","at",23
"to","make","the",23
"to","see","it",23
"to","talk","to",23
"top","of","the",23
"a","good","day",22
"a","sense","of",22
"a","way","to",22
"and","you","will",22
"are","you","going",22
"come","up","with",22
"i","like","to",22
"i","would","like",22
"if","you","can",22
"in","the","last",22
"in","the","next",22
"is","such","a",22
"its","been","a",22
"no","matter","how",22
"of","my","favorite",22
"on","the","road",22
"that","there","is",22
"the","other","day",22
"the","other","side",22
"the","top","of",22
"they","are","not",22
"to","get","it",22
"up","to","the",22
"used","to","be",22
"want","to","go",22
"was","a","great",22
"when","you","are",22
"would","have","been",22
"you","and","your",22
"a","series","of",21
"and","this","is",21
"but","i","was",21
"can","be","a",21
"come","to","the",21
"every","time","i",21
"for","all","the",21
"for","the","ff",21
"had","no","idea",21
"happy","new","year",21
"i","did","not",21
"i","hate","when",21
"i","just","want",21
"i","love","it",21
"if","i","had",21
"if","i","was",21
"im","trying","to",21
"in","terms","of",21
"it","can","be",21
"just","want","to",21
"little","bit","of",21
"need","to","go",21
"or","at","least",21
"that","it","was",21
"the","amount","of",21
"the","idea","of",21
"there","are","a",21
"there","is","nothing",21
"to","all","of",21
"what","is","the",21
"will","have","to",21
"would","be","the",21
"you","get","a",21
"a","great","weekend",20
"are","in","the",20
"are","looking","for",20
"as","you","can",20
"but","i","am",20
"but","if","you",20
"chance","to","win",20
"for","some","reason",20
"give","me","a",20
"happy","birthday","to",20
"i","can","do",20
"i","had","no",20
"i","like","the",20
"i","love","your",20
"i","thought","i",20
"i","was","in",20
"i","would","be",20
"in","a","row",20
"in","my","head",20
"in","the","house",20
"in","the","process",20
"is","that","the",20
"it","was","just",20
"let","you","know",20
"love","to","see",20
"make","sure","you",20
"may","not","be",20
"more","than","a",20
"not","want","to",20
"of","course","i",20
"part","of","a",20
"that","we","have",20
"the","beginning","of",20
"the","bottom","of",20
"there","was","no",20
"this","is","my",20
"to","make","sure",20
"to","see","a",20
"to","talk","about",20
"to","watch","the",20
"want","to","see",20
"was","one","of",20
"will","be","the",20
"a","few","of",19
"a","good","idea",19
"all","over","the",19
"and","a","few",19
"and","it","will",19
"as","they","are",19
"being","able","to",19
"but","i","know",19
"can","i","get",19
"didnt","want","to",19
"due","to","the",19
"even","though","i",19
"get","back","to",19
"going","to","do",19
"going","to","see",19
"hope","to","see",19
"i","got","to",19
"i","guess","i",19
"i","think","that",19
"in","addition","to",19
"in","the","back",19
"in","the","day",19
"just","saw","a",19
"middle","of","the",19
"mothers","day","to",19
"my","way","to",19
"out","in","the",19
"over","the","past",19
"so","much","better",19
"that","he","was",19
"that","is","a",19
"that","you","can",19
"the","way","to",19
"this","is","not",19
"to","me","that",19
"to","work","with",19
"up","for","the",19
"what","you","think",19
"when","i","get",19
"you","are","a",19
"a","fan","of",18
"a","picture","of",18
"a","variety","of",18
"all","kinds","of",18
"and","i","cant",18
"and","i","dont",18
"and","of","course",18
"are","a","few",18
"at","some","point",18
"at","the","moment",18
"be","a","great",18
"but","i","will",18
"did","you","know",18
"feel","like","i",18
"get","out","of",18
"getting","ready","to",18
"had","to","be",18
"have","to","say",18
"how","much","i",18
"i","can","be",18
"i","was","so",18
"i","woke","up",18
"if","i","could",18
"if","it","was",18
"im","not","a",18
"in","the","city",18
"just","a","few",18
"know","if","you",18
"live","in","the",18
"me","and","my",18
"me","want","to",18
"no","matter","what",18
"not","to","be",18
"of","my","friends",18
"over","and","over",18
"so","much","to",18
"that","i","can",18
"the","history","of",18
"the","last","few",18
"the","last","time",18
"the","next","few",18
"the","one","who",18
"the","power","of",18
"the","story","of",18
"there","are","no",18
"they","want","to",18
"this","is","why",18
"to","be","an",18
"to","be","on",18
"to","have","to",18
"want","to","get",18
"we","want","to",18
"we","will","be",18
"were","going","to",18
"where","are","you",18
"who","has","been",18
"will","always","be",18
"wish","i","could",18
"with","all","the",18
"you","dont","know",18
"you","had","a",18
"you","will","be",18
"a","good","thing",17
"a","lot","to",17
"a","member","of",17
"a","pair","of",17
"and","all","the",17
"are","the","best",17
"be","on","the",17
"dont","have","a",17
"dont","know","what",17
"for","me","and",17
"forward","to","seeing",17
"going","to","get",17
"has","been","a",17
"have","a","few",17
"have","you","been",17
"he","is","the",17
"he","was","a",17
"i","am","the",17
"i","could","have",17
"i","have","the",17
"i","just","dont",17
"i","know","you",17
"i","like","it",17
"i","love","that",17
"i","think","we",17
"i","try","to",17
"if","there","is",17
"if","you","do",17
"im","not","going",17
"in","other","words",17
"in","the","book",17
"is","not","the",17
"it","should","be",17
"it","was","so",17
"its","all","about",17
"not","sure","how",17
"now","i","have",17
"of","the","book",17
"ready","to","go",17
"reminds","me","of",17
"rt","if","you",17
"see","you","there",17
"so","much","more",17
"that","is","the",17
"that","you","have",17
"the","ability","to",17
"the","age","of",17
"the","one","that",17
"the","only","thing",17
"the","past","few",17
"the","side","of",17
"the","use","of",17
"think","it","is",17
"time","for","a",17
"to","all","my",17
"to","come","to",17
"to","create","a",17
"to","do","is",17
"to","do","this",17
"to","get","back",17
"to","pick","up",17
"to","see","how",17
"to","tell","you",17
"to","the","point",17
"to","work","on",17
"want","to","know",17
"way","to","the",17
"we","are","all",17
"we","have","been",17
"we","went","to",17
"what","kind","of",17
"who","wants","to",17
"you","going","to",17
"you","in","the",17
"you","know","the",17
"youre","going","to",17
"a","lot","more",16
"and","at","the",16
"and","i","can",16
"and","if","you",16
"and","that","is",16
"as","opposed","to",16
"been","able","to",16
"but","i","can",16
"but","i","love",16
"can","make","it",16
"first","time","i",16
"for","a","new",16
"forward","to","the",16
"i","didnt","get",16
"i","dont","see",16
"i","just","saw",16
"i","know","its",16
"i","love","to",16
"id","love","to",16
"im","pretty","sure",16
"in","a","few",16
"in","the","future",16
"in","the","meantime",16
"in","the","us",16
"in","the","way",16
"is","the","most",16
"its","hard","to",16
"know","what","you",16
"learn","how","to",16
"make","sure","to",16
"makes","me","want",16
"member","of","the",16
"not","to","mention",16
"of","the","people",16
"of","the","week",16
"one","of","them",16
"should","be","a",16
"shout","out","to",16
"so","excited","to",16
"so","i","have",16
"so","much","fun",16
"thanks","for","sharing",16
"that","can","be",16
"that","he","is",16
"that","i","had",16
"that","this","is",16
"that","was","a",16
"that","we","are",16
"the","best","of",16
"the","kind","of",16
"the","time","of",16
"the","way","i",16
"the","world","and",16
"those","of","you",16
"to","do","that",16
"to","find","out",16
"to","get","in",16
"to","get","my",16
"to","get","out",16
"to","go","back",16
"to","know","that",16
"to","think","of",16
"up","on","the",16
"wanted","to","do",16
"was","in","the",16
"way","to","go",16
"we","are","going",16
"what","did","you",16
"what","happened","to",16
"what","it","is",16
"will","continue","to",16
"will","you","be",16
"you","guys","are",16
"you","have","any",16
"you","have","the",16
"you","think","you",16
"a","bit","more",15
"a","cup","of",15
"a","few","years",15
"a","result","of",15
"all","of","you",15
"and","i","are",15
"and","i","got",15
"and","i","had",15
"and","i","were",15
"and","then","i",15
"as","good","as",15
"as","i","was",15
"as","part","of",15
"away","from","the",15
"based","on","the",15
"day","of","the",15
"did","you","get",15
"dont","get","it",15
"dont","know","if",15
"dont","need","to",15
"front","of","the",15
"get","rid","of",15
"going","to","take",15
"gonna","be","a",15
"had","a","good",15
"has","always","been",15
"he","is","a",15
"here","is","a",15
"here","is","the",15
"i","dont","get",15
"i","dont","need",15
"i","hope","to",15
"i","love","how",15
"i","needed","to",15
"i","think","of",15
"i","was","able",15
"i","was","not",15
"if","you","need",15
"if","you","think",15
"in","new","york",15
"is","a","lot",15
"is","the","first",15
"its","gonna","be",15
"just","a","little",15
"just","need","to",15
"know","what","i",15
"like","to","be",15
"lot","of","people",15
"many","of","the",15
"members","of","the",15
"my","life","i",15
"nothing","to","do",15
"of","you","who",15
"out","on","the",15
"out","to","the",15
"over","the","years",15
"see","you","in",15
"should","have","been",15
"since","i","was",15
"so","we","can",15
"spread","the","word",15
"thanks","to","all",15
"that","i","dont",15
"that","i","will",15
"that","i","would",15
"that","they","are",15
"the","house","of",15
"the","only","way",15
"the","people","who",15
"the","world","is",15
"think","i","am",15
"time","to","get",15
"to","do","something",15
"to","make","me",15
"to","see","if",15
"to","take","the",15
"today","is","the",15
"was","a","bit",15
"was","a","good",15
"was","a","little",15
"we","had","to",15
"well","as","the",15
"will","be","on",15
"you","can","get",15
"a","few","more",14
"a","friend","of",14
"a","group","of",14
"a","list","of",14
"a","little","while",14
"a","matter","of",14
"all","of","them",14
"and","i","know",14
"and","there","are",14
"any","of","the",14
"awkward","moment","when",14
"back","to","my",14
"be","part","of",14
"be","the","first",14
"because","it","is",14
"but","there","is",14
"but","you","can",14
"by","the","end",14
"come","back","to",14
"day","to","all",14
"do","not","want",14
"do","you","want",14
"down","to","the",14
"feel","free","to",14
"follow","me","please",14
"for","a","long",14
"for","a","week",14
"for","all","of",14
"getting","ready","for",14
"give","you","a",14
"good","to","see",14
"have","to","go",14
"i","didnt","have",14
"i","didnt","know",14
"i","get","a",14
"i","have","never",14
"i","havent","been",14
"i","know","the",14
"i","love","this",14
"i","made","a",14
"i","should","be",14
"i","will","have",14
"in","a","good",14
"in","my","mind",14
"in","the","face",14
"in","the","sun",14
"is","a","very",14
"is","about","to",14
"is","gonna","be",14
"is","on","the",14
"is","why","i",14
"know","that","you",14
"like","to","see",14
"looks","like","a",14
"lot","of","time",14
"love","you","too",14
"made","it","to",14
"may","have","been",14
"me","and","i",14
"me","to","be",14
"most","of","my",14
"my","best","friend",14
"my","husband","and",14
"of","those","things",14
"on","the","phone",14
"on","the","side",14
"out","to","be",14
"people","who","are",14
"place","in","the",14
"ready","for","the",14
"some","sort","of",14
"take","care","of",14
"thank","you","to",14
"thanks","to","the",14
"the","best","way",14
"the","chance","to",14
"the","difference","between",14
"the","next","day",14
"the","opportunity","to",14
"the","process","of",14
"the","right","to",14
"the","things","that",14
"think","i","have",14
"think","it","was",14
"this","is","what",14
"to","be","there",14
"to","catch","up",14
"to","come","back",14
"to","come","out",14
"to","get","some",14
"to","have","been",14
"to","know","what",14
"to","live","in",14
"to","me","and",14
"to","meet","you",14
"to","stop","by",14
"to","the","top",14
"to","write","a",14
"told","me","that",14
"trying","to","make",14
"we","do","not",14
"what","i","was",14
"what","is","your",14
"what","it","was",14
"when","i","am",14
"when","i","got",14
"while","i","was",14
"wish","i","was",14
"would","have","to",14
"you","do","not",14
"you","should","be",14
"a","beautiful","day",13
"a","long","day",13
"a","man","who",13
"a","ton","of",13
"a","waste","of",13
"and","have","a",13
"and","i","didnt",13
"and","i","love",13
"and","one","of",13
"and","there","is",13
"and","will","be",13
"around","the","corner",13
"as","bad","as",13
"as","far","as",13
"be","a","part",13
"be","one","of",13
"bottom","of","the",13
"but","in","the",13
"but","when","i",13
"do","you","like",13
"dont","even","know",13
"follow","me","back",13
"for","a","little",13
"for","me","i",13
"for","those","of",13
"gave","me","a",13
"go","ahead","and",13
"go","to","school",13
"going","to","go",13
"good","luck","to",13
"good","to","be",13
"he","has","a",13
"here","are","a",13
"hope","you","all",13
"hope","you","are",13
"hope","you","have",13
"how","many","times",13
"how","to","get",13
"i","can","see",13
"i","cant","believe",13
"i","dont","care",13
"i","dont","even",13
"i","got","the",13
"i","just","cant",13
"i","live","in",13
"i","look","forward",13
"i","should","have",13
"i","tried","to",13
"i","used","the",13
"i","was","at",13
"if","i","dont",13
"if","it","is",13
"if","you","havent",13
"if","you","would",13
"in","the","st",13
"in","this","world",13
"is","a","bit",13
"is","like","a",13
"is","so","much",13
"it","is","so",13
"it","is","to",13
"it","might","be",13
"just","have","to",13
"kind","of","a",13
"last","night","i",13
"like","a","good",13
"listening","to","the",13
"love","to","have",13
"me","i","have",13
"more","of","a",13
"much","better","than",13
"my","name","is",13
"no","one","else",13
"not","a","good",13
"not","so","much",13
"not","sure","if",13
"of","the","new",13
"of","the","other",13
"of","the","way",13
"on","the","ground",13
"on","the","th",13
"one","of","these",13
"one","of","your",13
"other","side","of",13
"over","the","weekend",13
"really","need","to",13
"right","now","i",13
"sign","up","for",13
"so","i","could",13
"so","it","was",13
"so","that","i",13
"such","a","great",13
"thank","you","i",13
"that","he","has",13
"that","i","could",13
"that","is","not",13
"that","when","i",13
"the","people","of",13
"the","role","of",13
"the","start","of",13
"the","state","of",13
"they","need","to",13
"this","is","just",13
"this","was","a",13
"this","will","be",13
"thx","for","the",13
"time","of","the",13
"to","be","one",13
"to","do","a",13
"to","do","so",13
"to","find","the",13
"to","listen","to",13
"to","make","my",13
"to","say","i",13
"to","see","my",13
"to","try","and",13
"wait","for","the",13
"want","you","to",13
"was","the","first",13
"way","to","get",13
"we","have","the",13
"welcome","to","the",13
"were","able","to",13
"what","are","your",13
"when","i","think",13
"when","you","get",13
"why","do","i",13
"will","be","in",13
"will","be","there",13
"with","me","and",13
"you","go","to",13
"you","know","how",13
"you","will","find",13
"a","few","hours",12
"a","good","time",12
"a","good","way",12
"a","little","more",12
"a","trip","to",12
"all","is","well",12
"along","with","the",12
"and","most","of",12
"and","on","the",12
"and","trying","to",12
"and","we","are",12
"are","you","doing",12
"at","the","bottom",12
"back","of","the",12
"back","on","the",12
"been","a","long",12
"best","way","to",12
"but","i","cant",12
"but","there","are",12
"can","do","it",12
"dont","know","how",12
"feel","like","a",12
"first","day","of",12
"for","a","bit",12
"for","the","new",12
"for","you","i",12
"get","ready","for",12
"get","to","the",12
"give","it","a",12
"have","time","to",12
"he","had","a",12
"here","are","the",12
"how","to","make",12
"i","am","in",12
"i","am","just",12
"i","am","thankful",12
"i","didnt","even",12
"i","get","to",12
"i","hate","the",12
"i","have","had",12
"i","know","how",12
"i","know","im",12
"i","really","like",12
"i","saw","the",12
"i","think","you",12
"i","thought","that",12
"i","thought","you",12
"i","told","you",12
"i","was","there",12
"if","i","were",12
"if","you","like",12
"if","you","were",12
"if","youre","not",12
"im","about","to",12
"in","need","of",12
"in","the","air",12
"in","the","car",12
"in","the","second",12
"in","the","th",12
"in","the","united",12
"in","time","to",12
"in","your","life",12
"is","also","a",12
"is","based","on",12
"is","there","a",12
"is","what","i",12
"it","could","be",12
"it","seems","like",12
"it","seems","to",12
"it","to","be",12
"it","was","like",12
"keep","it","up",12
"last","night","and",12
"lot","of","fun",12
"makes","me","feel",12
"may","be","the",12
"me","in","the",12
"more","than","one",12
"most","of","them",12
"much","for","the",12
"need","to","do",12
"new","years","eve",12
"not","sure","what",12
"not","the","only",12
"of","the","country",12
"of","the","first",12
"of","the","game",12
"off","to","the",12
"on","behalf","of",12
"on","how","to",12
"on","my","phone",12
"on","the","new",12
"out","into","the",12
"out","of","it",12
"parts","of","the",12
"quite","a","few",12
"really","want","to",12
"see","you","at",12
"some","kind","of",12
"sure","to","check",12
"thats","what","i",12
"the","best","thing",12
"the","cost","of",12
"the","edge","of",12
"the","front","of",12
"the","future","of",12
"the","new","york",12
"the","people","in",12
"the","problem","is",12
"the","s","and",12
"the","size","of",12
"the","world","of",12
"the","world","to",12
"there","are","some",12
"they","have","a",12
"this","is","going",12
"this","was","the",12
"this","week","i",12
"this","year","i",12
"to","be","at",12
"to","be","more",12
"to","give","you",12
"to","go","out",12
"to","hear","it",12
"to","hear","the",12
"to","me","i",12
"to","one","of",12
"to","show","you",12
"to","tell","me",12
"to","the","other",12
"to","those","who",12
"to","worry","about",12
"today","is","a",12
"turned","out","to",12
"up","in","a",12
"up","with","the",12
"was","at","the",12
"was","on","the",12
"was","trying","to",12
"we","are","in",12
"we","dont","have",12
"what","is","it",12
"what","you","need",12
"what","you","want",12
"whats","your","favorite",12
"when","i","first",12
"who","will","be",12
"who","you","are",12
"will","not","be",12
"with","one","of",12
"you","and","i",12
"you","are","so",12
"you","as","well",12
"you","know","i",12
"you","think","of",12
"you","to","be",12
"a","copy","of",11
"a","few","times",11
"a","glass","of",11
"a","good","one",11
"a","whole","new",11
"all","my","friends",11
"all","the","people",11
"and","a","half",11
"and","get","a",11
"and","he","was",11
"and","i","just",11
"and","i","want",11
"and","im","not",11
"and","its","not",11
"and","the","other",11
"and","the","rest",11
"and","they","are",11
"and","we","will",11
"and","you","can",11
"are","on","the",11
"are","so","many",11
"as","a","child",11
"as","i","can",11
"as","i","have",11
"at","least","i",11
"at","one","of",11
"be","a","bit",11
"because","i","have",11
"but","we","dont",11
"can","do","this",11
"can","see","the",11
"check","out","my",11
"check","out","our",11
"day","in","the",11
"do","it","again",11
"dont","know","why",11
"dont","think","i",11
"even","if","it",11
"first","time","in",11
"follow","me","on",11
"for","a","great",11
"for","at","least",11
"for","the","most",11
"for","the","past",11
"for","the","rest",11
"for","the","retweet",11
"for","those","who",11
"from","time","to",11
"get","in","the",11
"get","to","know",11
"get","to","see",11
"go","to","sleep",11
"going","to","make",11
"got","to","be",11
"great","way","to",11
"half","of","the",11
"has","been","in",11
"has","never","been",11
"have","a","chance",11
"have","had","to",11
"have","to","get",11
"here","are","some",11
"hit","me","up",11
"hope","you","enjoy",11
"hope","you","had",11
"i","agree","with",11
"i","am","always",11
"i","am","now",11
"i","am","sure",11
"i","do","have",11
"i","dont","really",11
"i","ended","up",11
"i","had","been",11
"i","know","but",11
"i","know","it",11
"i","know","what",11
"i","might","have",11
"i","really","want",11
"i","saw","a",11
"i","think","this",11
"i","want","a",11
"i","was","looking",11
"i","was","the",11
"i","was","thinking",11
"if","i","have",11
"im","looking","forward",11
"in","my","opinion",11
"in","one","of",11
"in","the","kitchen",11
"in","the","new",11
"in","the","office",11
"in","the","right",11
"is","part","of",11
"is","that","it",11
"is","trying","to",11
"it","all","the",11
"it","but","i",11
"it","does","not",11
"it","is","only",11
"it","was","an",11
"keep","up","the",11
"know","that","i",11
"know","what","to",11
"looking","at","the",11
"me","if","you",11
"more","likely","to",11
"much","as","i",11
"my","friends","and",11
"my","mom","and",11
"new","york","city",11
"no","one","is",11
"not","being","able",11
"not","have","to",11
"not","in","the",11
"now","that","i",11
"of","one","of",11
"of","the","season",11
"of","the","story",11
"on","a","new",11
"on","both","sides",11
"on","the","internet",11
"on","the","radio",11
"one","of","his",11
"only","way","to",11
"out","for","the",11
"out","how","to",11
"out","of","your",11
"people","who","have",11
"president","of","the",11
"seem","to","be",11
"share","with","you",11
"should","have","a",11
"should","not","be",11
"so","i","am",11
"so","many","people",11
"still","have","a",11
"that","has","been",11
"that","kind","of",11
"that","there","are",11
"that","we","can",11
"that","you","will",11
"the","day","before",11
"the","importance","of",11
"the","life","of",11
"the","light","of",11
"the","point","of",11
"the","right","thing",11
"the","things","i",11
"the","thought","of",11
"the","type","of",11
"the","university","of",11
"the","way","you",11
"there","are","many",11
"there","are","two",11
"they","have","to",11
"thought","i","was",11
"thought","i","would",11
"time","to","time",11
"to","be","sure",11
"to","buy","a",11
"to","do","and",11
"to","give","it",11
"to","give","up",11
"to","have","the",11
"to","hit","the",11
"to","know","the",11
"to","play","with",11
"to","share","with",11
"to","the","next",11
"to","the","same",11
"trying","to","figure",11
"trying","to","find",11
"up","at","the",11
"want","to","hear",11
"want","to","make",11
"we","can","do",11
"we","have","no",11
"what","happens","when",11
"what","i","do",11
"where","i","can",11
"will","be","able",11
"with","all","of",11
"with","the","same",11
"working","on","the",11
"yes","i","am",11
"you","can","have",11
"you","can","read",11
"you","get","the",11
"you","need","a",11
"you","on","the",11
"you","think","about",11
"you","to","the",11
"you","want","a",11
"a","daily","basis",10
"a","lack","of",10
"a","little","too",10
"a","look","at",10
"a","way","of",10
"after","a","long",10
"all","about","the",10
"all","of","this",10
"am","so","excited",10
"and","all","of",10
"and","for","the",10
"and","i","really",10
"and","its","a",10
"and","they","were",10
"and","wanted","to",10
"are","a","lot",10
"are","able","to",10
"are","in","a",10
"are","you","in",10
"as","i","am",10
"at","the","beginning",10
"back","into","the",10
"be","at","the",10
"be","the","best",10
"because","i","was",10
"because","they","are",10
"been","in","the",10
"best","of","luck",10
"but","i","just",10
"but","im","not",10
"but","then","again",10
"can","be","found",10
"catch","up","with",10
"cinco","de","mayo",10
"close","to","the",10
"could","be","a",10
"could","not","be",10
"couple","of","weeks",10
"decided","to","take",10
"did","you","go",10
"did","you","see",10
"do","the","same",10
"even","though","it",10
"fact","that","it",10
"fall","in","love",10
"for","him","to",10
"for","the","best",10
"for","them","to",10
"forward","to","a",10
"forward","to","your",10
"goal","is","to",10
"going","on","in",10
"good","to","know",10
"great","to","see",10
"have","a","new",10
"have","to","make",10
"have","to","take",10
"have","to","work",10
"have","yet","to",10
"he","needs","to",10
"hey","thanks","for",10
"him","in","the",10
"home","from","the",10
"how","do","i",10
"how","to","do",10
"i","am","still",10
"i","could","not",10
"i","didnt","think",10
"i","didnt","want",10
"i","dont","understand",10
"i","feel","the",10
"i","felt","like",10
"i","get","home",10
"i","have","an",10
"i","have","some",10
"i","knew","it",10
"i","looked","at",10
"i","may","have",10
"i","really","wanted",10
"i","told","him",10
"i","wish","you",10
"i","would","never",10
"if","they","are",10
"if","they","dont",10
"if","we","can",10
"if","you","cant",10
"if","you","know",10
"im","in","the",10
"im","not","even",10
"im","off","to",10
"im","ready","to",10
"im","so","glad",10
"in","a","bad",10
"in","a","way",10
"in","a","while",10
"in","and","out",10
"in","my","own",10
"in","the","area",10
"in","the","dark",10
"in","the","game",10
"in","the","room",10
"in","the","uk",10
"is","better","than",10
"is","going","on",10
"is","just","a",10
"is","just","the",10
"is","much","more",10
"is","not","an",10
"is","the","last",10
"it","and","i",10
"it","doesnt","matter",10
"it","has","to",10
"it","is","just",10
"it","must","be",10
"it","on","the",10
"it","was","in",10
"it","was","not",10
"it","would","have",10
"its","a","good",10
"its","all","good",10
"its","good","to",10
"its","just","a",10
"its","not","a",10
"its","not","just",10
"its","not","like",10
"its","not","the",10
"just","in","case",10
"keep","up","with",10
"knew","it","was",10
"like","that","i",10
"long","as","you",10
