"unigram","BigramTM","TrigramTM","freq"
"can","take","your",3
"can","work","on",3
"cant","believe","im",3
"cant","figure","out",3
"cant","help","it",3
"cant","seem","to",3
"cant","stop","listening",3
"care","about","what",3
"case","of","the",3
"catch","up","with",3
"catching","up","on",3
"caught","in","the",3
"center","of","the",3
"chairman","of","the",3
"change","the","world",3
"chapter","of","the",3
"character","who","is",3
"check","out","and",3
"check","out","his",3
"cheer","me","up",3
"children","who","are",3
"clap","clap","clap",3
"cleaning","the","house",3
"click","on","the",3
"close","to","the",3
"club","for","the",3
"collin","creek","mall",3
"come","on","now",3
"come","out","to",3
"comes","from","my",3
"comes","to","the",3
"coming","to","the",3
"comment","on","the",3
"contrary","to","the",3
"copy","of","the",3
"cost","of","the",3
"could","also","be",3
"could","go","for",3
"could","take","a",3
"couple","of","hours",3
"couple","of","months",3
"couple","of","years",3
"course","i","will",3
"crossing","my","fingers",3
"cup","of","tea",3
"day","a","week",3
"day","at","work",3
"day","for","a",3
"day","he","was",3
"day","i","am",3
"day","i","thought",3
"day","in","and",3
"day","with","my",3
"days","a","week",3
"deal","with","it",3
"deal","with","that",3
"dec","sc","in",3
"decided","to","do",3
"decided","to","move",3
"decided","to","take",3
"decided","to","try",3
"deep","into","the",3
"degree","of","doubt",3
"departure","from","the",3
"didnt","see","that",3
"disney","vacation","packages",3
"dm","you","back",3
"do","have","a",3
"do","i","get",3
"do","i","have",3
"do","i","know",3
"do","it","i",3
"do","not","be",3
"do","not","have",3
"do","not","want",3
"do","to","get",3
"do","with","a",3
"do","you","mean",3
"do","you","really",3
"does","anyone","know",3
"does","that","mean",3
"does","this","mean",3
"doesnt","have","the",3
"doesnt","want","to",3
"doing","for","the",3
"doing","it","again",3
"dont","believe","in",3
"dont","do","it",3
"dont","follow","me",3
"dont","give","a",3
"dont","have","any",3
"dont","have","one",3
"dont","have","time",3
"dont","know","where",3
"dont","know","who",3
"dont","know","why",3
"dont","think","its",3
"dont","think","the",3
"dont","try","to",3
"dont","worry","if",3
"dont","you","think",3
"down","and","i",3
"down","at","the",3
"down","by","the",3
"down","for","a",3
"down","to","go",3
"dream","come","true",3
"dreams","come","true",3
"drink","and","drive",3
"during","the","civil",3
"during","the","time",3
"each","other","the",3
"earlier","in","the",3
"easy","to","make",3
"edge","of","the",3
"effect","of","the",3
"effect","on","the",3
"either","side","of",3
"encouraged","me","to",3
"end","of","it",3
"enough","to","be",3
"even","get","a",3
"even","have","a",3
"even","if","its",3
"even","the","most",3
"even","though","the",3
"even","when","i",3
"even","with","the",3
"ever","been","in",3
"ever","since","i",3
"everyone","has","a",3
"exactly","the","same",3
"except","for","the",3
"excited","to","see",3
"expect","me","to",3
"expect","to","be",3
"face","of","a",3
"far","as","i",3
"fear","the","dear",3
"federal","reserve","bank",3
"feel","bad","for",3
"feel","better","about",3
"feel","like","it",3
"feel","like","the",3
"feel","like","you",3
"feel","the","need",3
"feeling","like","a",3
"feels","like","a",3
"feels","like","i",3
"felt","it","was",3
"felt","like","i",3
"few","days","ago",3
"few","minutes","on",3
"few","people","in",3
"figure","out","how",3
"finally","back","in",3
"finally","decided","to",3
"finally","get","a",3
"finally","got","a",3
"find","a","good",3
"find","yourself","in",3
"first","i","thought",3
"first","time","since",3
"follow","me","im",3
"followed","by","a",3
"following","me","on",3
"for","a","drink",3
"for","a","free",3
"for","a","good",3
"for","a","lot",3
"for","a","new",3
"for","a","walk",3
"for","about","minutes",3
"for","all","that",3
"for","another","year",3
"for","anyone","who",3
"for","being","so",3
"for","coming","to",3
"for","dinner","tonight",3
"for","example","that",3
"for","four","days",3
"for","him","and",3
"for","less","than",3
"for","many","of",3
"for","me","the",3
"for","minutes","or",3
"for","more","information",3
"for","most","people",3
"for","much","of",3
"for","my","next",3
"for","our","new",3
"for","over","a",3
"for","people","who",3
"for","so","long",3
"for","some","time",3
"for","something","that",3
"for","the","better",3
"for","the","church",3
"for","the","final",3
"for","the","fun",3
"for","the","future",3
"for","the","most",3
"for","the","night",3
"for","the","people",3
"for","the","right",3
"for","the","st",3
"for","the","support",3
"for","the","tip",3
"for","the","way",3
"for","the","weekend",3
"for","the","year",3
"for","this","blog",3
"for","this","month",3
"for","two","days",3
"for","years","and",3
"for","you","and",3
"for","you","or",3
"for","your","chance",3
"for","your","kind",3
"for","your","own",3
"forward","to","a",3
"forward","to","my",3
"fourth","of","july",3
"friend","of","mine",3
"from","a","certain",3
"from","a","long",3
"from","now","on",3
"from","rm","billion",3
"from","the","best",3
"from","the","s",3
"from","within","the",3
"front","of","me",3
"fuck","wit","me",3
"fun","and","games",3
"fun","at","the",3
"fun","fact","about",3
"fun","with","the",3
"game","of","the",3
"gave","her","the",3
"get","a","call",3
"get","a","high",3
"get","a","new",3
"get","at","least",3
"get","better","at",3
"get","on","my",3
"get","on","the",3
"get","some","of",3
"getting","out","of",3
"gift","from","god",3
"girl","in","the",3
"give","him","a",3
"give","me","the",3
"give","up","the",3
"give","you","an",3
"giving","me","a",3
"glad","to","be",3
"glad","you","found",3
"glad","you","liked",3
"glass","of","wine",3
"go","for","a",3
"go","get","a",3
"go","home","and",3
"go","to","church",3
"go","to","work",3
"go","to","your",3
"going","on","for",3
"going","through","the",3
"going","to","college",3
"going","to","give",3
"going","to","share",3
"going","to","win",3
"gonna","be","crazy",3
"good","as","you",3
"good","i","think",3
"good","luck","with",3
"good","thing","about",3
"good","time","to",3
"got","a","few",3
"got","a","little",3
"got","a","new",3
"got","a","pea",3
"got","back","from",3
"got","lots","of",3
"got","the","call",3
"got","to","do",3
"got","to","have",3
"got","to","meet",3
"got","to","see",3
"gotta","do","it",3
"great","way","to",3
"guys","are","awesome",3
"had","a","chance",3
"had","a","wonderful",3
"had","been","a",3
"had","died","in",3
"had","so","much",3
"had","such","a",3
"hanging","out","the",3
"happen","to","be",3
"happened","to","be",3
"happened","to","that",3
"happy","easter","to",3
"happy","hump","day",3
"happy","to","be",3
"hard","not","to",3
"hard","to","avoid",3
"hard","to","find",3
"has","a","lot",3
"has","anyone","else",3
"has","become","a",3
"has","been","such",3
"has","ever","seen",3
"has","made","me",3
"has","more","than",3
"has","never","been",3
"has","to","do",3
"has","to","go",3
"have","a","beautiful",3
"have","a","chance",3
"have","a","couple",3
"have","a","full",3
"have","a","problem",3
"have","access","to",3
"have","an","awesome",3
"have","an","idea",3
"have","any","questions",3
"have","been","in",3
"have","been","so",3
"have","been","trying",3
"have","ever","met",3
"have","fun","with",3
"have","is","the",3
"have","known","it",3
"have","little","in",3
"have","lost","the",3
"have","lots","of",3
"have","more","to",3
"have","my","heart",3
"have","plenty","of",3
"have","some","serious",3
"have","some","sort",3
"have","the","ability",3
"have","to","believe",3
"have","to","come",3
"have","to","get",3
"have","to","keep",3
"have","to","read",3
"have","to","tell",3
"have","to","think",3
"have","to","wonder",3
"have","tried","to",3
"have","wanted","to",3
"have","you","as",3
"have","you","not",3
"havent","been","on",3
"havent","talked","to",3
"having","a","baby",3
"having","a","conversation",3
"having","a","good",3
"he","doesnt","have",3
"he","got","a",3
"he","had","a",3
"he","had","the",3
"he","has","been",3
"he","has","made",3
"he","held","on",3
"he","is","at",3
"he","likes","it",3
"he","lost","his",3
"he","made","it",3
"he","must","have",3
"he","needs","to",3
"he","said","it",3
"he","seems","to",3
"he","should","have",3
"he","stopped","and",3
"he","wants","to",3
"he","was","able",3
"he","was","at",3
"he","was","going",3
"he","was","just",3
"he","was","so",3
"he","went","to",3
"he","would","be",3
"heading","up","to",3
"hear","about","the",3
"hear","about","your",3
"heard","that","the",3
"held","in","my",3
"help","us","out",3
"her","i","miss",3
"her","to","the",3
"here","and","it",3
"here","if","you",3
"here","is","my",3
"here","they","are",3
"here","with","me",3
"heres","what","i",3
"high","blood","pressure",3
"high","school","career",3
"him","and","that",3
"him","he","is",3
"him","on","the",3
"his","heart","and",3
"his","life","to",3
"his","or","her",3
"his","own","blood",3
"hold","on","to",3
"home","and","i",3
"home","from","work",3
"honored","to","be",3
"hope","everyone","is",3
"hope","i","get",3
"hope","it","was",3
"hope","its","a",3
"hope","that","you",3
"hope","we","can",3
"hoping","for","a",3
"how","are","things",3
"how","can","you",3
"how","did","you",3
"how","i","met",3
"how","lucky","i",3
"how","much","of",3
"how","r","u",3
"how","to","be",3
"how","to","love",3
"how","was","it",3
"how","would","you",3
"hug","and","run",3
"husband","and","i",3
"i","also","have",3
"i","always","have",3
"i","am","also",3
"i","am","getting",3
"i","am","glad",3
"i","am","gonna",3
"i","am","grateful",3
"i","am","happy",3
"i","am","hoping",3
"i","am","really",3
"i","am","thankful",3
"i","am","trying",3
"i","am","very",3
"i","assure","you",3
"i","ate","a",3
"i","can","come",3
"i","can","just",3
"i","can","understand",3
"i","cant","go",3
"i","cant","imagine",3
"i","cant","stop",3
"i","come","across",3
"i","could","say",3
"i","could","tell",3
"i","couldnt","help",3
"i","dare","you",3
"i","did","but",3
"i","did","i",3
"i","did","that",3
"i","did","the",3
"i","didnt","feel",3
"i","didnt","love",3
"i","do","too",3
"i","dont","believe",3
"i","dont","expect",3
"i","dont","follow",3
"i","dont","wanna",3
"i","even","had",3
"i","feel","the",3
"i","felt","the",3
"i","figured","the",3
"i","finally","decided",3
"i","find","it",3
"i","follow","you",3
"i","for","one",3
"i","forgot","to",3
"i","found","a",3
"i","found","it",3
"i","found","these",3
"i","found","this",3
"i","get","my",3
"i","get","some",3
"i","got","all",3
"i","got","into",3
"i","got","some",3
"i","got","this",3
"i","got","you",3
"i","guess","im",3
"i","guess","you",3
"i","had","fun",3
"i","had","in",3
"i","had","planned",3
"i","hadnt","heard",3
"i","hate","being",3
"i","hate","it",3
"i","hate","my",3
"i","hate","you",3
"i","have","an",3
"i","have","had",3
"i","have","heard",3
"i","have","however",3
"i","have","loved",3
"i","have","nothing",3
"i","have","one",3
"i","have","so",3
"i","have","some",3
"i","have","three",3
"i","have","your",3
"i","havent","talked",3
"i","hear","that",3
"i","hear","the",3
"i","heard","it",3
"i","hope","everyone",3
"i","hope","he",3
"i","hope","it",3
"i","hope","its",3
"i","hope","the",3
"i","joined","the",3
"i","just","couldnt",3
"i","just","didnt",3
"i","just","feel",3
"i","just","finished",3
"i","just","have",3
"i","just","love",3
"i","just","now",3
"i","just","realized",3
"i","knew","it",3
"i","know","a",3
"i","know","about",3
"i","know","my",3
"i","know","where",3
"i","let","them",3
"i","like","my",3
"i","love","and",3
"i","love","her",3
"i","love","when",3
"i","loved","it",3
"i","mean","it",3
"i","mean","really",3
"i","might","as",3
"i","miss","a",3
"i","miss","having",3
"i","miss","u",3
"i","must","admit",3
"i","must","be",3
"i","need","it",3
"i","never","knew",3
"i","picked","up",3
"i","plan","to",3
"i","put","it",3
"i","read","it",3
"i","read","the",3
"i","realized","that",3
"i","really","wanted",3
"i","remember","how",3
"i","remember","the",3
"i","sat","down",3
"i","saw","him",3
"i","see","him",3
"i","see","is",3
"i","see","it",3
"i","see","you",3
"i","see","your",3
"i","should","just",3
"i","started","a",3
"i","still","need",3
"i","supposed","to",3
"i","sure","hope",3
"i","think","ill",3
"i","think","is",3
"i","think","you",3
"i","thought","maybe",3
"i","thought","of",3
"i","thought","we",3
"i","wake","up",3
"i","walked","in",3
"i","wanna","see",3
"i","want","in",3
"i","want","my",3
"i","want","some",3
"i","was","already",3
"i","was","and",3
"i","was","busy",3
"i","was","cold",3
"i","was","delighted",3
"i","was","given",3
"i","was","hanging",3
"i","was","like",3
"i","was","lucky",3
"i","was","still",3
"i","was","to",3
"i","was","told",3
"i","was","waiting",3
"i","was","young",3
"i","will","do",3
"i","will","miss",3
"i","wish","that",3
"i","wish","there",3
"i","wish","we",3
"i","wish","you",3
"i","would","always",3
"i","would","go",3
"i","would","not",3
"i","would","really",3
"i","wouldnt","be",3
"i","wouldnt","say",3
"id","say","its",3
"id","say","that",3
"idea","of","a",3
"idea","of","the",3
"if","he","doesnt",3
"if","he","was",3
"if","i","got",3
"if","i","need",3
"if","i","say",3
"if","i","should",3
"if","i","still",3
"if","i","try",3
"if","im","known",3
"if","so","how",3
"if","there","are",3
"if","they","did",3
"if","they","have",3
"if","they","want",3
"if","we","are",3
"if","we","can",3
"if","we","do",3
"if","you","arent",3
"if","you","ever",3
"if","you","had",3
"if","you","happen",3
"if","you","keep",3
"if","you","know",3
"if","you","only",3
"if","you","try",3
"if","you","were",3
"if","youre","interested",3
"if","youre","on",3
"ill","be","your",3
"ill","dm","you",3
"ill","send","you",3
"im","fine","with",3
"im","giving","you",3
"im","gonna","be",3
"im","just","a",3
"im","kind","of",3
"im","much","more",3
"im","not","an",3
"im","not","talking",3
"im","not","the",3
"im","on","a",3
"im","on","the",3
"im","ready","for",3
"im","so","excited",3
"im","sorry","but",3
"im","sorry","i",3
"im","thankful","for",3
"im","willing","to",3
"images","of","the",3
"in","a","bad",3
"in","a","couple",3
"in","a","great",3
"in","a","lot",3
"in","a","state",3
"in","a","week",3
"in","a","while",3
"in","all","of",3
"in","and","day",3
"in","and","the",3
"in","at","the",3
"in","austin","for",3
"in","boiling","water",3
"in","celebration","of",3
"in","contact","with",3
"in","france","and",3
"in","honor","of",3
"in","it","was",3
"in","less","than",3
"in","lieu","of",3
"in","light","of",3
"in","los","angeles",3
"in","memory","of",3
"in","mind","when",3
"in","my","arms",3
"in","my","brain",3
"in","my","face",3
"in","my","new",3
"in","my","room",3
"in","new","orleans",3
"in","no","time",3
"in","one","day",3
"in","one","place",3
"in","particular","the",3
"in","san","francisco",3
"in","the","area",3
"in","the","background",3
"in","the","basement",3
"in","the","bathroom",3
"in","the","beginning",3
"in","the","business",3
"in","the","caribbean",3
"in","the","crowd",3
"in","the","family",3
"in","the","form",3
"in","the","garage",3
"in","the","grass",3
"in","the","heart",3
"in","the","hospital",3
"in","the","living",3
"in","the","matter",3
"in","the","moment",3
"in","the","mood",3
"in","the","night",3
"in","the","old",3
"in","the","other",3
"in","the","refrigerator",3
"in","the","sand",3
"in","the","season",3
"in","the","series",3
"in","the","sidebar",3
"in","the","south",3
"in","the","spirit",3
"in","the","spring",3
"in","the","st",3
"in","the","store",3
"in","the","subject",3
"in","the","time",3
"in","the","truck",3
"in","the","universe",3
"in","the","usa",3
"in","the","week",3
"in","the","white",3
"in","the","winter",3
"in","their","own",3
"in","their","shoes",3
"in","this","book",3
"in","this","regard",3
"in","those","days",3
"in","time","for",3
"in","your","favor",3
"influence","on","the",3
"inside","of","me",3
"international","womens","day",3
"interview","with","the",3
"into","each","other",3
"into","my","life",3
"into","the","mix",3
"into","the","night",3
"into","the","realm",3
"is","a","chance",3
"is","a","gift",3
"is","a","life",3
"is","a","list",3
"is","a","real",3
"is","a","work",3
"is","always","a",3
"is","always","fun",3
"is","an","amazing",3
"is","an","easy",3
"is","anything","but",3
"is","around","the",3
"is","as","good",3
"is","described","as",3
"is","flying","by",3
"is","for","a",3
"is","for","the",3
"is","for","you",3
"is","full","of",3
"is","going","well",3
"is","how","much",3
"is","in","charge",3
"is","kind","of",3
"is","known","as",3
"is","like","the",3
"is","made","of",3
"is","making","me",3
"is","more","of",3
"is","my","life",3
"is","nice","to",3
"is","not","just",3
"is","not","only",3
"is","not","to",3
"is","now","a",3
"is","of","the",3
"is","on","its",3
"is","only","one",3
"is","so","good",3
"is","something","you",3
"is","starting","to",3
"is","still","a",3
"is","still","in",3
"is","such","an",3
"is","talking","to",3
"is","that","a",3
"is","that","he",3
"is","that","i",3
"is","that","we",3
"is","the","biggest",3
"is","the","first",3
"is","the","new",3
"is","the","perfect",3
"is","the","real",3
"is","the","state",3
"is","the","worst",3
"is","tired","of",3
"is","to","do",3
"is","to","get",3
"is","up","to",3
"is","up","with",3
"is","why","it",3
"isnt","going","to",3
"it","all","in",3
"it","amazes","me",3
"it","at","the",3
"it","be","to",3
"it","but","im",3
"it","but","my",3
"it","doesnt","give",3
"it","doesnt","seem",3
"it","easier","for",3
"it","for","a",3
"it","from","a",3
"it","from","the",3
"it","got","a",3
"it","had","a",3
"it","had","to",3
"it","he","is",3
"it","i","cant",3
"it","i","feel",3
"it","into","the",3
"it","is","about",3
"it","is","an",3
"it","is","hard",3
"it","is","i",3
"it","is","important",3
"it","is","indeed",3
"it","is","nice",3
"it","is","particularly",3
"it","is","pretty",3
"it","is","such",3
"it","is","there",3
"it","is","time",3
"it","is","what",3
"it","isnt","a",3
"it","isnt","the",3
"it","looked","like",3
"it","looks","as",3
"it","needs","to",3
"it","out","i",3
"it","out","this",3
"it","over","the",3
"it","starts","with",3
"it","takes","to",3
"it","to","me",3
"it","took","me",3
"it","turned","out",3
"it","up","on",3
"it","up","with",3
"it","used","to",3
"it","was","almost",3
"it","was","also",3
"it","was","an",3
"it","was","and",3
"it","was","at",3
"it","was","but",3
"it","was","fun",3
"it","was","to",3
"it","was","when",3
"it","when","i",3
"it","will","not",3
"it","will","take",3
"it","with","a",3
"item","c","above",3
"its","a","great",3
"its","back","to",3
"its","because","i",3
"its","like","a",3
"its","not","my",3
"its","not","that",3
"its","own","merits",3
"its","up","to",3
"its","way","to",3
"ive","been","away",3
"ive","been","using",3
"ive","heard","that",3
"job","in","the",3
"job","on","the",3
"join","to","top",3
"join","us","for",3
"join","us","in",3
"just","a","little",3
"just","because","i",3
"just","being","a",3
"just","dont","get",3
"just","finished","a",3
"just","found","out",3
"just","go","to",3
"just","got","back",3
"just","happened","to",3
"just","like","the",3
"just","realized","that",3
"just","saw","the",3
"just","sit","and",3
"just","to","be",3
"just","when","i",3
"keep","us","in",3
"kind","of","a",3
"knew","i","had",3
"knew","this","was",3
"know","a","lot",3
"know","each","other",3
"know","how","we",3
"know","i","am",3
"know","i","dont",3
"know","it","was",3
"know","me","i",3
"know","that","in",3
"know","that","the",3
"know","that","when",3
"know","what","to",3
"know","you","love",3
"knowing","how","to",3
"knowledge","of","the",3
"large","number","of",3
"last","few","months",3
"last","night","and",3
"last","night","at",3
"last","night","in",3
"last","night","so",3
"last","night","we",3
"last","two","days",3
"last","week","and",3
"last","weekend","i",3
"lately","ive","been",3
"later","in","the",3
"lay","it","down",3
"leading","up","to",3
"leave","me","alone",3
"left","in","the",3
"lend","me","a",3
"less","than","a",3
"let","go","of",3
"let","it","get",3
"let","me","go",3
"let","there","be",3
"lets","do","this",3
"lets","make","it",3
"life","goes","on",3
"life","is","good",3
"life","of","the",3
"life","so","much",3
"life","you","want",3
"like","a","real",3
"like","any","other",3
"like","he","was",3
"like","i","can",3
"like","i","do",3
"like","i","was",3
"like","it","but",3
"like","they","were",3
"like","to","hear",3
"like","to","say",3
"like","to","thank",3
"like","to","think",3
"link","to","your",3
"list","of","the",3
"little","did","i",3
"little","in","common",3
"live","in","an",3
"live","up","to",3
"lol","you","know",3
"long","as","you",3
"long","day","ahead",3
"long","time","ago",3
"look","at","my",3
"look","at","that",3
"look","out","for",3
"look","up","at",3
"looked","like","a",3
"looking","at","you",3
"looking","for","my",3
"looks","like","the",3
"lot","has","changed",3
"love","it","when",3
"love","you","and",3
"love","you","more",3
"love","you","please",3
"love","you","so",3
"loves","you","too",3
"luck","to","all",3
"lucky","i","was",3
"made","me","cry",3
"made","me","laugh",3
"make","a","nice",3
"make","me","a",3
"make","the","most",3
"make","way","for",3
"make","your","own",3
"makes","me","feel",3
"makes","me","happy",3
"makes","me","miss",3
"makes","you","feel",3
"man","and","a",3
"man","is","a",3
"man","with","the",3
"many","of","my",3
"many","of","these",3
"many","times","have",3
"many","years","ago",3
"matter","how","much",3
"matter","what","you",3
"may","or","may",3
"may","the","odds",3
"maybe","i","should",3
"maybe","i","will",3
"maybe","one","day",3
"me","a","lot",3
"me","all","the",3
"me","as","i",3
"me","at","the",3
"me","because","i",3
"me","feel","like",3
"me","for","my",3
"me","i","can",3
"me","i","had",3
"me","i","love",3
"me","i","need",3
"me","is","a",3
"me","ive","been",3
"me","sign","me",3
"me","so","i",3
"me","that","if",3
"me","through","the",3
"me","to","a",3
"me","to","the",3
"me","to","you",3
"me","up","with",3
"meant","to","be",3
"middle","of","a",3
"might","be","the",3
"might","want","to",3
"minutes","it","was",3
"miss","her","i",3
"more","about","the",3
"more","difficult","than",3
"more","i","thought",3
"more","love","and",3
"more","money","than",3
"more","than","i",3
"more","than","it",3
"more","than","one",3
"more","time","in",3
"more","to","come",3
"move","scale","move",3
"mr","freedom","lover",3
"much","easier","to",3
"much","going","on",3
"much","like","the",3
"much","more","than",3
"much","of","it",3
"much","the","same",3
"music","in","the",3
"must","be","a",3
"must","say","i",3
"my","ass","and",3
"my","brothers","and",3
"my","cell","phone",3
"my","dog","and",3
"my","dream","job",3
"my","heart","is",3
"my","life","for",3
"my","life","i",3
"my","life","in",3
"my","life","so",3
"my","love","for",3
"my","love","of",3
"my","mom","for",3
"my","mom","is",3
"my","most","favorite",3
"my","my","my",3
"my","own","way",3
"my","whole","life",3
"my","year","old",3
"myself","but","i",3
"name","of","jesus",3
"national","average","of",3
"natural","history","museum",3
"need","a","little",3
"need","all","the",3
"need","is","a",3
"need","to","check",3
"need","to","find",3
"need","to","have",3
"need","to","take",3
"need","to","work",3
"need","you","to",3
"next","day","i",3
"next","few","weeks",3
"next","to","a",3
"next","to","me",3
"next","two","years",3
"nice","to","have",3
"night","i","cant",3
"night","i","was",3
"night","with","a",3
"no","doubt","that",3
"no","i","didnt",3
"no","its","not",3
"no","more","than",3
"no","one","in",3
"none","of","it",3
"none","of","my",3
"none","of","the",3
"none","of","these",3
"not","a","fan",3
"not","a","good",3
"not","be","a",3
"not","even","close",3
"not","even","tired",3
"not","following","me",3
"not","have","the",3
"not","in","a",3
"not","in","the",3
"not","only","did",3
"not","only","is",3
"not","sure","why",3
"not","take","the",3
"not","the","most",3
"not","to","have",3
"not","too","long",3
"not","want","to",3
"not","wanting","to",3
"nothing","wrong","with",3
"now","for","a",3
"now","for","the",3
"now","i","dont",3
"now","i","just",3
"now","off","to",3
"now","that","im",3
"now","you","have",3
"of","a","book",3
"of","a","young",3
"of","being","a",3
"of","christ","the",3
"of","course","not",3
"of","course","the",3
"of","course","there",3
"of","each","other",3
"of","him","he",3
"of","his","life",3
"of","how","i",3
"of","it","all",3
"of","it","but",3
"of","it","i",3
"of","it","in",3
"of","life","and",3
"of","life","is",3
"of","my","day",3
"of","my","favourite",3
"of","my","first",3
"of","my","old",3
"of","olive","oil",3
"of","our","great",3
"of","our","lives",3
"of","south","africa",3
"of","the","above",3
"of","the","art",3
"of","the","authors",3
"of","the","beautiful",3
"of","the","big",3
"of","the","cast",3
"of","the","children",3
"of","the","city",3
"of","the","dead",3
"of","the","debate",3
"of","the","doubt",3
"of","the","entire",3
"of","the","fact",3
"of","the","films",3
"of","the","fire",3
"of","the","good",3
"of","the","heart",3
"of","the","irish",3
"of","the","latter",3
"of","the","living",3
"of","the","major",3
"of","the","media",3
"of","the","more",3
"of","the","movie",3
"of","the","new",3
"of","the","pack",3
"of","the","parents",3
"of","the","past",3
"of","the","people",3
"of","the","problem",3
"of","the","questions",3
"of","the","reasons",3
"of","the","road",3
"of","the","room",3
"of","the","situation",3
"of","the","state",3
"of","the","stuff",3
"of","the","team",3
"of","the","universe",3
"of","the","water",3
"of","them","are",3
"of","them","so",3
"of","them","they",3
"of","this","blog",3
"of","this","year",3
"of","this","years",3
"of","time","to",3
"of","us","are",3
"of","us","have",3
"of","us","here",3
"of","us","will",3
"of","you","and",3
"of","you","have",3
"of","you","to",3
"of","your","home",3
"off","a","cliff",3
"off","to","my",3
"off","to","sleep",3
"often","do","you",3
"oh","and","the",3
"oh","you","know",3
"omg","i","just",3
"on","a","daily",3
"on","a","plane",3
"on","a","run",3
"on","a","trip",3
"on","both","sides",3
"on","facebook","i",3
"on","for","a",3
"on","her","back",3
"on","in","the",3
"on","my","face",3
"on","my","facebook",3
"on","my","page",3
"on","new","years",3
"on","one","of",3
"on","one","side",3
"on","saturday","and",3
"on","the","board",3
"on","the","bottom",3
"on","the","bright",3
"on","the","carpet",3
"on","the","computer",3
"on","the","corner",3
"on","the","front",3
"on","the","inside",3
"on","the","journey",3
"on","the","last",3
"on","the","market",3
"on","the","outside",3
"on","the","past",3
"on","the","site",3
"on","the","street",3
"on","the","streets",3
"on","the","th",3
"on","the","third",3
"on","the","west",3
"on","the","win",3
"on","the","world",3
"on","them","and",3
"on","this","planet",3
"on","twitter","and",3
"on","twitter","in",3
"on","what","we",3
"on","you","and",3
"on","your","face",3
"on","your","list",3
"once","a","month",3
"once","a","year",3
"once","i","get",3
"once","i","got",3
"once","in","a",3
"once","it","is",3
"once","or","twice",3
"one","end","of",3
"one","in","the",3
"one","known","as",3
"one","last","time",3
"one","more","week",3
"one","of","their",3
"one","of","you",3
"one","or","two",3
"one","person","who",3
"one","side","and",3
"one","that","was",3
"one","thing","i",3
"one","thing","is",3
"one","thing","that",3
"only","going","to",3
"only","one","who",3
"only","thing","i",3
"only","way","to",3
"or","are","you",3
"or","i","would",3
"or","may","not",3
"or","on","the",3
"or","something","else",3
"or","the","fact",3
"or","the","other",3
"or","two","of",3
"or","you","can",3
"order","for","the",3
"other","half","of",3
"other","things","that",3
"out","all","of",3
"out","and","it",3
"out","of","their",3
"out","of","you",3
"out","on","my",3
"out","the","lights",3
"out","the","washing",3
"out","to","all",3
"over","a","year",3
"over","the","world",3
"over","to","the",3
"packed","up","and",3
"part","of","an",3
"part","of","what",3
"past","few","days",3
"peace","and","quiet",3
"people","are","not",3
"people","fighting","over",3
"people","in","this",3
"people","interested","in",3
"people","on","the",3
"people","who","were",3
"percent","in","the",3
"percent","of","the",3
"perhaps","it","is",3
"period","of","time",3
"person","i","am",3
"person","who","will",3
"photos","of","the",3
"pick","up","a",3
"pick","up","on",3
"pics","of","the",3
"picture","of","us",3
"pictures","of","my",3
"piece","of","the",3
"place","in","the",3
"playing","for","the",3
"playing","in","the",3
"please","join","us",3
"please","notice","me",3
"pointed","out","that",3
"points","above","the",3
"points","out","that",3
"portion","of","the",3
"pretty","much","the",3
"price","of","a",3
"probably","more","than",3
"problem","is","that",3
"proud","of","myself",3
"put","it","in",3
"put","it","on",3
"put","it","there",3
"put","up","with",3
"quality","of","life",3
"quite","a","bit",3
"read","about","the",3
"ready","to","start",3
"really","excited","about",3
"really","have","to",3
"reason","to","do",3
"referred","to","as",3
"reflecting","on","the",3
"regardless","of","the",3
"relationship","with","the",3
"remember","when","we",3
"remind","me","of",3
"reserve","bank","of",3
"response","to","the",3
"return","the","favor",3
"return","to","the",3
"returned","to","the",3
"retweet","if","you",3
"right","about","now",3
"right","back","to",3
"right","now","because",3
"right","now","for",3
"right","now","the",3
"right","out","of",3
"right","side","of",3
"right","thing","to",3
"right","to","be",3
"rm","billion","in",3
"role","of","the",3
"roman","catholic","church",3
"rt","check","out",3
"rt","have","you",3
"rt","i","cant",3
"rt","i","love",3
"rt","thank","you",3
"russell","t","davies",3
"said","it","was",3
"same","time","as",3
"say","its","a",3
"saying","that","i",3
"sc","dec","sc",3
"scale","move","scale",3
"score","of","the",3
"searching","for","a",3
"second","in","the",3
"see","all","the",3
"see","each","other",3
"see","how","many",3
"see","if","there",3
"see","it","and",3
"see","it","for",3
"see","it","in",3
"see","on","the",3
"see","this","is",3
"see","what","you",3
"see","you","guys",3
"seems","like","a",3
"sense","to","me",3
"sent","to","the",3
"served","in","the",3
"she","gave","me",3
"she","had","a",3
"she","has","been",3
"she","is","not",3
"she","is","the",3
"she","said","she",3
"she","was","a",3
"she","was","on",3
"she","will","be",3
"shot","in","the",3
"should","also","be",3
"should","be","able",3
"should","get","on",3
"show","last","night",3
"show","up","at",3
"shows","that","the",3
"sign","me","sign",3
"signed","up","for",3
"since","i","dont",3
"sit","next","to",3
"sitting","in","a",3
"sitting","in","the",3
"sitting","on","the",3
"so","close","to",3
"so","excited","about",3
"so","excited","for",3
"so","excited","that",3
"so","far","at",3
