"unigram","BigramTM","TrigramTM","QuadgramTM","freq"
"looking","forward","to","seeing",4
"looking","forward","to","your",4
"love","to","have","you",4
"nice","to","meet","you",4
"not","being","able","to",4
"on","a","friday","night",4
"on","the","way","to",4
"one","of","the","few",4
"one","of","the","greatest",4
"one","of","the","many",4
"one","of","those","days",4
"other","side","of","the",4
"sc","in","sc","dec",4
"see","you","at","the",4
"so","im","going","to",4
"so","much","better","than",4
"so","that","i","could",4
"take","the","time","to",4
"tell","me","what","you",4
"thanks","for","following","me",4
"thanks","for","the","ff",4
"thanks","for","the","kind",4
"that","i","want","to",4
"the","benefit","of","the",4
"the","best","way","to",4
"the","first","day","of",4
"the","majority","of","the",4
"the","name","of","the",4
"the","next","few","months",4
"the","side","of","the",4
"the","two","of","us",4
"the","way","back","to",4
"the","way","to","the",4
"there","are","a","few",4
"there","are","those","who",4
"this","is","going","to",4
"this","is","one","of",4
"this","was","going","to",4
"to","be","a","good",4
"to","be","in","a",4
"to","figure","out","what",4
"to","get","caught","up",4
"to","go","to","school",4
"to","learn","more","about",4
"to","let","you","know",4
"to","pay","attention","to",4
"to","say","that","i",4
"to","say","the","least",4
"to","some","of","the",4
"to","the","next","level",4
"to","the","rest","of",4
"to","the","top","of",4
"told","you","to","be",4
"up","the","good","work",4
"want","to","be","a",4
"wants","to","be","a",4
"was","one","of","the",4
"we","are","going","to",4
"we","are","invited","to",4
"we","were","going","to",4
"were","going","to","have",4
"what","did","you","think",4
"when","i","first","saw",4
"when","i","get","home",4
"when","i","look","at",4
"will","be","able","to",4
"with","a","bunch","of",4
"would","love","to","see",4
"would","you","like","to",4
"you","dont","have","a",4
"you","for","the","follow",4
"you","have","a","great",4
"you","may","have","read",4
"you","need","to","go",4
"you","please","follow","me",4
"you","when","you","are",4
"a","couple","of","months",3
"a","couple","of","weeks",3
"a","cup","of","coffee",3
"a","fan","of","the",3
"a","few","people","in",3
"a","gift","from","god",3
"a","good","time","to",3
"a","large","number","of",3
"a","long","time","ago",3
"a","look","at","the",3
"a","lot","has","changed",3
"a","picture","of","us",3
"a","result","of","the",3
"a","small","amount","of",3
"a","way","to","get",3
"above","the","national","average",3
"all","i","see","is",3
"all","of","us","here",3
"am","going","to","share",3
"and","a","bit","of",3
"and","cant","wait","to",3
"and","i","dont","even",3
"and","i","feel","like",3
"and","i","hope","that",3
"and","i","like","it",3
"and","if","you","dont",3
"and","it","is","a",3
"and","it","was","quite",3
"and","it","will","be",3
"and","let","me","know",3
"and","more","and","more",3
"and","one","of","the",3
"and","see","what","happens",3
"and","tell","me","what",3
"and","thank","you","for",3
"and","the","more","we",3
"and","then","in","the",3
"and","then","the","next",3
"and","then","there","are",3
"anywhere","in","the","world",3
"are","a","lot","of",3
"are","looking","forward","to",3
"are","we","going","to",3
"as","a","way","of",3
"as","bad","as","the",3
"as","far","as","i",3
"as","he","likes","it",3
"as","long","as","it",3
"as","long","as","you",3
"as","soon","as","my",3
"as","this","is","a",3
"as","well","as","a",3
"at","all","times","and",3
"at","first","i","thought",3
"at","in","the","morning",3
"at","one","of","our",3
"at","the","back","of",3
"at","the","time","i",3
"at","the","university","of",3
"at","this","point","i",3
"awkward","moment","when","your",3
"back","in","the","day",3
"back","of","my","head",3
"be","a","great","day",3
"be","able","to","work",3
"been","a","long","time",3
"benefit","of","the","doubt",3
"both","sides","of","the",3
"but","at","the","end",3
"but","for","me","it",3
"but","i","dont","know",3
"but","i","dont","see",3
"but","i","have","a",3
"but","i","have","to",3
"but","im","not","going",3
"but","it","is","a",3
"but","you","have","to",3
"by","the","grace","of",3
"by","the","time","i",3
"can","be","found","in",3
"can","i","get","a",3
"can","you","follow","me",3
"chance","to","win","a",3
"come","to","the","conclusion",3
"congrats","on","the","new",3
"day","in","and","day",3
"day","of","the","week",3
"did","you","go","to",3
"do","what","i","want",3
"do","you","have","a",3
"do","you","think","about",3
"do","you","think","that",3
"does","anyone","know","how",3
"doesnt","have","to","be",3
"dont","give","a","fuck",3
"dont","want","to","miss",3
"during","the","civil","war",3
"every","time","i","see",3
"exactly","what","i","was",3
"federal","reserve","bank","of",3
"feel","like","i","am",3
"feel","like","i","can",3
"feel","the","need","to",3
"figure","out","a","way",3
"figure","out","how","to",3
"follow","us","on","twitter",3
"following","me","on","twitter",3
"for","a","few","days",3
"for","a","little","while",3
"for","a","moment","it",3
"for","a","while","but",3
"for","all","your","support",3
"for","me","it","was",3
"for","the","follow","back",3
"for","the","follow","we",3
"for","the","last","two",3
"for","the","st","time",3
"for","those","of","you",3
"for","you","to","notice",3
"for","your","chance","to",3
"from","one","of","my",3
"from","rm","billion","in",3
"get","a","chance","to",3
"get","in","the","way",3
"get","out","of","the",3
"good","luck","to","all",3
"got","a","call","from",3
"got","a","lot","of",3
"had","a","chance","to",3
"had","no","idea","how",3
"hanging","out","the","washing",3
"has","been","such","a",3
"have","a","good","day",3
"have","a","good","time",3
"have","a","great","day",3
"have","little","in","common",3
"have","some","sort","of",3
"have","the","ability","to",3
"have","to","admit","that",3
"have","to","go","through",3
"have","you","as","a",3
"have","you","ever","seen",3
"he","was","able","to",3
"he","was","going","to",3
"hit","me","up","with",3
"hope","everyone","has","a",3
"how","can","we","expect",3
"how","have","you","been",3
"how","i","feel","about",3
"how","lucky","i","was",3
"how","many","times","have",3
"i","also","have","a",3
"i","am","happy","to",3
"i","am","not","a",3
"i","am","thankful","for",3
"i","am","trying","to",3
"i","can","say","i",3
"i","can","say","is",3
"i","could","go","on",3
"i","didnt","want","to",3
"i","dont","believe","in",3
"i","dont","have","one",3
"i","dont","have","time",3
"i","dont","know","where",3
"i","dont","think","its",3
"i","feel","bad","for",3
"i","feel","like","it",3
"i","felt","like","i",3
"i","finally","decided","to",3
"i","got","a","lot",3
"i","had","a","dream",3
"i","had","a","great",3
"i","hate","when","people",3
"i","have","a","couple",3
"i","have","a","few",3
"i","have","been","trying",3
"i","havent","talked","to",3
"i","just","got","back",3
"i","just","have","to",3
"i","just","need","to",3
"i","just","want","to",3
"i","knew","i","had",3
"i","love","it","when",3
"i","love","to","watch",3
"i","love","you","more",3
"i","love","you","so",3
"i","love","you","too",3
"i","might","as","well",3
"i","must","say","i",3
"i","needed","to","get",3
"i","still","have","to",3
"i","supposed","to","do",3
"i","think","he","was",3
"i","think","i","should",3
"i","think","i","would",3
"i","think","it","was",3
"i","thought","i","had",3
"i","thought","they","were",3
"i","wanted","to","be",3
"i","wanted","to","see",3
"i","was","a","kid",3
"i","was","hanging","out",3
"i","was","so","excited",3
"i","was","to","be",3
"i","went","to","bed",3
"i","went","to","the",3
"i","will","be","on",3
"i","wish","that","i",3
"i","would","be","able",3
"i","would","never","have",3
"i","would","say","that",3
"idk","what","to","do",3
"if","i","can","get",3
"if","i","try","to",3
"if","there","is","a",3
"if","we","do","not",3
"if","you","are","going",3
"if","you","are","interested",3
"if","you","do","not",3
"if","you","dont","know",3
"if","you","dont","like",3
"if","you","happen","to",3
"if","you","have","any",3
"if","you","need","a",3
"if","you","think","you",3
"im","trying","to","get",3
"in","a","bad","mood",3
"in","a","good","way",3
"in","a","large","bowl",3
"in","a","lot","of",3
"in","and","day","out",3
"in","front","of","me",3
"in","my","life","and",3
"in","order","for","the",3
"in","sc","dec","sc",3
"in","terms","of","the",3
"in","the","bottom","of",3
"in","the","early","s",3
"in","the","heart","of",3
"in","the","living","room",3
"in","the","morning","and",3
"in","the","morning","before",3
"in","the","past","few",3
"in","the","process","of",3
"in","the","right","direction",3
"in","the","s","and",3
"in","the","same","way",3
"in","the","uk","and",3
"in","the","way","of",3
"in","this","case","the",3
"into","the","realm","of",3
"is","a","list","of",3
"is","a","result","of",3
"is","around","the","corner",3
"is","not","the","most",3
"is","on","its","way",3
"is","part","of","the",3
"is","what","i","do",3
"it","has","been","a",3
"it","if","you","dont",3
"it","is","hard","to",3
"it","is","what","it",3
"it","seems","to","me",3
"it","used","to","be",3
"it","was","a","very",3
"it","was","nice","to",3
"it","was","the","only",3
"it","was","time","for",3
"its","a","beautiful","day",3
"its","been","a","while",3
"ive","never","been","to",3
"just","got","back","from",3
"just","happened","to","be",3
"just","in","time","to",3
"know","a","lot","of",3
"know","how","to","make",3
"know","that","i","have",3
"know","what","you","think",3
"lets","make","it","happen",3
"lets","talk","about","the",3
"little","did","i","know",3
"little","in","common","with",3
"long","as","i","can",3
"looking","forward","to","this",3
"love","you","so","much",3
"make","it","a","good",3
"make","the","most","of",3
"may","or","may","not",3
"me","know","if","you",3
"me","me","me","me",3
"me","to","be","a",3
"me","to","come","back",3
"me","what","you","think",3
"me","when","i","was",3
"more","and","more","and",3
"more","love","and","kindness",3
"more","than","a","few",3
"much","as","i","love",3
"my","husband","and","i",3
"my","life","so","much",3
"need","to","go","back",3
"need","to","work","on",3
"no","no","no","no",3
"no","turning","back","because",3
"not","to","mention","the",3
"now","i","have","to",3
"now","that","i","have",3
"number","of","people","who",3
"of","course","i","will",3
"of","him","he","is",3
"of","the","fact","that",3
"of","the","united","states",3
"of","us","here","at",3
"on","a","daily","basis",3
"on","a","regular","basis",3
"on","its","own","merits",3
"on","the","bright","side",3
"on","the","right","side",3
"on","the","side","of",3
"on","the","way","home",3
"on","to","the","next",3
"on","top","of","that",3
"on","top","of","this",3
"one","of","my","favorites",3
"one","of","my","favourite",3
"one","of","the","reasons",3
"one","of","the","things",3
"one","of","those","things",3
"or","the","fact","that",3
"out","a","way","to",3
"out","of","the","oven",3
"over","the","past","two",3
"please","follow","me","im",3
"points","above","the","national",3
"quite","a","few","people",3
"quote","of","the","day",3
"rest","of","the","world",3
"right","next","to","the",3
"right","thing","to","do",3
"sc","dec","sc","in",3
"scale","move","scale","move",3
"see","if","i","can",3
"see","it","for","the",3
"see","you","in","the",3
"should","be","able","to",3
"shout","out","to","all",3
"sign","me","sign","me",3
"since","i","was","a",3
"so","excited","about","the",3
"so","excited","to","be",3
"so","i","could","get",3
"so","i","decided","to",3
"so","i","thought","id",3
"so","that","i","can",3
"so","there","is","no",3
"some","of","the","more",3
"sorry","to","hear","about",3
"spread","the","word","and",3
"stayed","up","all","night",3
"supposed","to","be","a",3
"sure","to","check","out",3
"take","a","moment","to",3
"thank","you","for","your",3
"thank","you","to","everyone",3
"thanks","for","coming","to",3
"thanks","for","stopping","by",3
"thanks","for","the","great",3
"thanks","for","the","retweet",3
"thanks","for","the","shout",3
"thanks","for","the","shoutout",3
"thanks","for","the","support",3
"thanks","for","the","tip",3
"that","appear","to","be",3
"that","he","had","been",3
"that","it","is","not",3
"that","when","i","was",3
"the","awkward","moment","when",3
"the","back","of","my",3
"the","beginning","of","a",3
"the","best","thing","about",3
"the","best","thing","to",3
"the","bones","of","joseph",3
"the","bottom","of","each",3
"the","center","of","the",3
"the","day","of","the",3
"the","day","with","my",3
"the","end","of","it",3
"the","face","of","a",3
"the","first","time","since",3
"the","heart","of","the",3
"the","last","few","months",3
"the","middle","of","a",3
"the","more","love","and",3
"the","national","average","of",3
"the","next","day","i",3
"the","next","few","weeks",3
"the","next","two","years",3
"the","one","known","as",3
"the","only","one","who",3
"the","only","way","to",3
"the","other","half","of",3
"the","past","few","days",3
"the","past","few","years",3
"the","point","where","i",3
"the","president","of","the",3
"the","right","side","of",3
"the","right","thing","to",3
"the","role","of","the",3
"the","s","and","s",3
"the","surface","of","the",3
"the","time","of","the",3
"the","title","of","the",3
"the","united","states","of",3
"them","for","the","first",3
"then","there","was","the",3
"there","are","a","lot",3
"there","are","so","many",3
"there","is","only","one",3
"there","will","be","more",3
"there","will","be","one",3
"they","are","going","to",3
"think","i","have","a",3
"think","i","need","a",3
"this","is","not","a",3
"to","all","my","followers",3
"to","all","of","you",3
"to","be","at","the",3
"to","be","on","the",3
"to","be","one","of",3
"to","be","the","most",3
"to","be","with","her",3
"to","check","it","out",3
"to","deal","with","the",3
"to","do","the","same",3
"to","do","with","the",3
"to","figure","out","a",3
"to","get","back","to",3
"to","get","used","to",3
"to","give","you","a",3
"to","go","home","and",3
"to","go","to","a",3
"to","go","to","the",3
"to","have","you","as",3
"to","hear","about","the",3
"to","hear","about","your",3
"to","just","sit","and",3
"to","live","and","work",3
"to","make","a","difference",3
"to","make","way","for",3
"to","pick","up","my",3
"to","put","up","with",3
"to","see","if","i",3
"to","see","if","there",3
"to","see","what","they",3
"to","see","you","on",3
"to","sit","down","and",3
"to","take","care","of",3
"to","the","conclusion","that",3
"to","the","effect","of",3
"to","the","other","side",3
"to","the","point","of",3
"to","work","on","my",3
"to","you","i","love",3
"today","is","the","last",3
"us","know","if","you",3
"use","it","as","a",3
"wait","to","see","you",3
"want","to","go","to",3
"want","to","think","about",3
"was","one","of","those",3
"we","are","looking","forward",3
"we","cant","wait","to",3
"we","had","a","blast",3
"we","live","in","an",3
"we","would","love","to",3
"what","do","you","mean",3
"what","happened","to","that",3
"what","is","it","that",3
"what","is","your","favorite",3
"what","it","takes","to",3
"what","you","think","about",3
"whats","going","on","in",3
"whats","the","point","of",3
"when","i","go","to",3
"when","i","have","a",3
"when","i","read","it",3
"when","i","was","young",3
"when","you","get","a",3
"when","you","have","a",3
"who","it","is","that",3
"who","wants","to","be",3
"will","have","little","in",3
"will","let","you","know",3
"wish","that","i","could",3
"with","all","of","the",3
"with","one","of","the",3
"with","some","sort","of",3
"would","have","to","be",3
"would","it","be","to",3
"would","like","to","do",3
"would","like","to","see",3
"you","all","have","a",3
"you","and","your","family",3
"you","can","do","it",3
"you","can","see","the",3
"you","dont","know","me",3
"you","dont","want","to",3
"you","for","being","so",3
"you","go","to","the",3
"you","guys","are","awesome",3
"you","know","what","i",3
"you","live","in","the",3
"you","need","to","know",3
"you","put","on","your",3
"you","want","to","see",3
"youd","have","to","be",3
"your","chance","to","win",3
"a","bedroom","for","her",2
"a","big","deal","out",2
"a","big","thank","you",2
"a","book","and","read",2
"a","broader","range","of",2
"a","bunch","of","people",2
"a","car","this","was",2
"a","copy","of","the",2
"a","couple","of","different",2
"a","couple","of","minutes",2
"a","day","or","two",2
"a","droid","flagship","should",2
"a","fantasy","film","we",2
"a","few","days","ago",2
"a","few","hours","of",2
"a","few","minutes","on",2
"a","few","months","ago",2
"a","few","more","days",2
"a","few","of","the",2
"a","few","years","ago",2
"a","few","years","back",2
"a","fork","in","the",2
"a","fun","fact","about",2
"a","glass","of","wine",2
"a","good","one","to",2
"a","good","way","to",2
"a","great","opportunity","to",2
"a","great","time","at",2
"a","great","weekend","everybody",2
"a","great","weekend","everyone",2
"a","hint","of","a",2
"a","home","based","data",2
"a","huge","number","of",2
"a","link","to","your",2
"a","list","of","the",2
"a","long","days","work",2
"a","long","night","of",2
"a","long","stretch","of",2
"a","long","time","but",2
"a","long","time","since",2
"a","lot","i","like",2
"a","lot","of","fun",2
"a","lot","of","money",2
"a","lot","of","questions",2
"a","lot","of","space",2
"a","lot","of","trouble",2
"a","lot","of","us",2
"a","lot","of","ways",2
"a","lot","to","learn",2
"a","man","and","a",2
"a","man","that","can",2
"a","meeting","of","the",2
"a","mix","between","a",2
"a","month","dont","panic",2
"a","new","one","on",2
"a","number","of","talks",2
"a","number","of","years",2
"a","parking","lot","so",2
"a","part","of","me",2
"a","picture","of","the",2
"a","piece","of","paper",2
"a","point","where","i",2
"a","proliferation","of","new",2
"a","smile","on","your",2
"a","spoon","of","salt",2
"a","third","of","the",2
"a","tour","of","the",2
"a","very","merry","christmas",2
"a","way","to","start",2
"a","whole","new","level",2
"a","wide","range","of",2
"a","year","and","a",2
"abbey","bodeker","hannah","bartlome",2
"able","to","get","a",2
"able","to","make","it",2
"about","a","third","of",2
"about","as","close","to",2
"about","it","the","more",2
"about","ten","years","old",2
"about","the","future","of",2
"about","the","scope","of",2
"about","to","embark","on",2
"about","to","see","my",2
"about","what","we","dont",2
"about","you","and","you",2
"according","to","the","scriptures",2
"account","to","support","you",2
"actions","when","people","feel",2
"add","up","to","a",2
"after","a","couple","of",2
"after","a","long","day",2
"after","a","long","days",2
"after","it","was","over",2
"after","the","death","of",2
"all","but","one","of",2
"all","day","and","not",2
"all","i","know","is",2
"all","i","need","to",2
"all","i","want","is",2
"all","i","want","to",2
"all","images","are","dpi",2
"all","in","all","its",2
"all","my","friends","and",2
"all","my","new","followers",2
"all","of","a","sudden",2
"all","of","that","being",2
"all","of","us","at",2
"all","of","you","who",2
"all","over","the","world",2
"all","she","wants","is",2
"all","sorts","of","things",2
"all","the","bad","things",2
"all","the","girls","on",2
"all","the","people","in",2
"all","the","things","that",2
"all","the","time","but",2
"all","the","time","it",2
"all","the","way","back",2
"all","the","way","out",2
"all","treated","the","same",2
"all","your","friends","to",2
"almost","as","much","as",2
"already","so","i","can",2
"also","need","to","be",2
"always","looking","for","new",2
"always","open","to","new",2
"am","going","to","be",2
"am","going","to","do",2
"am","going","to","have",2
"am","gonna","study","now",2
"am","now","a","fan",2
"am","now","working","on",2
"an","all","or","nothing",2
"an","awful","lot","of",2
"an","edition","of","such",2
"an","electric","towel","warmer",2
"an","hour","to","go",2
"an","interview","with","the",2
"and","a","desire","to",2
"and","a","half","ago",2
"and","a","lot","of",2
"and","all","sorts","of",2
"and","be","sure","to",2
"and","check","it","out",2
"and","check","out","the",2
"and","doesnt","have","the",2
"and","dont","tell","me",2
"and","even","though","it",2
"and","get","a","new",2
"and","get","all","the",2
"and","hell","be","warm",2
"and","here","i","am",2
"and","i","both","have",2
"and","i","cant","wait",2
"and","i","dont","think",2
"and","i","dont","want",2
"and","i","got","a",2
"and","i","had","a",2
"and","i","had","to",2
"and","i","have","been",2
"and","i","have","nothing",2
"and","i","have","to",2
"and","i","havent","had",2
"and","i","love","you",2
"and","i","managed","to",2
"and","i","must","say",2
"and","i","need","to",2
"and","i","realized","that",2
"and","i","think","its",2
"and","i","want","to",2
"and","i","will","be",2
"and","if","you","do",2
"and","im","hoping","to",2
"and","im","not","going",2
"and","in","the","case",2
"and","it","is","this",2
"and","it","isnt","the",2
"and","it","was","great",2
"and","its","been","a",2
"and","just","like","the",2
"and","kindness","we","give",2
"and","knowledge","of","the",2
"and","laughter","it","was",2
"and","let","us","know",2
"and","like","us","on",2
"and","looking","forward","to",2
"and","more","in","this",2
"and","most","of","the",2
"and","most","of","them",2
"and","never","will","be",2
"and","no","one","would",2
"and","not","feel","guilty",2
"and","now","i","am",2
"and","of","course","that",2
"and","of","the","holy",2
"and","on","and","on",2
"and","one","of","his",2
"and","recertify","by","exam",2
"and","run","hug","and",2
"and","see","if","i",2
"and","sign","up","for",2
"and","start","earning","to",2
"and","thanks","for","the",2
"and","that","got","me",2
"and","that","he","has",2
"and","the","ability","to",2
"and","the","day","after",2
"and","the","end","of",2
"and","the","fact","that",2
"and","the","girl","was",2
"and","the","man","who",2
"and","the","rest","of",2
"and","then","there","was",2
"and","there","are","many",2
"and","there","will","be",2
"and","this","time","i",2
"and","those","who","do",2
"and","wanted","to","share",2
"and","was","happy","to",2
"and","we","can","be",2
"and","we","have","been",2
"and","well","give","you",2
"and","went","to","the",2
"and","would","love","to",2
"and","you","will","be",2
"and","you","will","get",2
"anyone","else","want","to",2
"anyone","know","how","many",2
"anyone","know","how","to",2
"anything","to","do","with",2
"anyway","on","to","the",2
"apologize","for","not","being",2
"appear","to","be","in",2
"are","a","couple","of",2
"are","all","treated","the",2
"are","considered","to","be",2
"are","dpi","and","come",2
"are","going","to","be",2
"are","going","to","let",2
"are","going","to","make",2
"are","just","some","of",2
"are","not","going","to",2
"are","not","the","same",2
"are","on","the","way",2
"are","one","of","the",2
"are","only","a","few",2
"are","responsible","for","the",2
"are","so","many","people",2
"are","the","backbone","of",2
"are","the","place","that",2
"are","those","who","are",2
"are","working","on","a",2
"are","you","by","chance",2
"are","you","guys","going",2
"are","you","kidding","me",2
"are","you","looking","for",2
"are","you","trying","to",2
"are","you","using","to",2
"arent","all","the","same",2
"arizona","daily","star","tucson",2
"around","the","house","and",2
"as","a","home","based",2
"as","a","kind","of",2
"as","a","part","of",2
"as","good","as","the",2
"as","good","as","you",2
"as","i","got","closer",2
"as","i","love","the",2
"as","it","should","be",2
"as","long","as","your",2
"as","many","people","as",2
"as","much","as","a",2
"as","much","as","possible",2
"as","of","right","now",2
"as","she","looked","at",2
"as","soon","as","i",2
"as","soon","as","possible",2
"as","we","all","know",2
"as","well","and","i",2
"as","well","as","his",2
"as","well","be","a",2
"as","well","i","hope",2
"asking","me","to","leave",2
"at","a","low","price",2
"at","a","time","i",2
"at","a","time","when",2
"at","book","bums","and",2
"at","least","for","me",2
"at","least","for","the",2
"at","least","for","those",2
"at","least","half","a",2
"at","least","not","yet",2
"at","pm","you","have",2
"at","some","point","in",2
"at","the","beach","with",2
"at","the","cost","of",2
"at","the","heart","of",2
"at","the","level","of",2
"at","the","moment","the",2
"at","the","time","but",2
"at","the","time","the",2
"at","the","united","nations",2
"at","the","very","least",2
"at","this","time","of",2
"awesome","show","last","night",2
"back","and","forth","with",2
"back","in","a","few",2
"back","into","my","life",2
"back","of","the","pack",2
"back","to","the","clinic",2
"bake","for","minutes","or",2
"bank","of","new","york",2
"banks","did","well","in",2
"based","data","entry","operator",2
"be","a","bit","of",2
"be","a","good","day",2
"be","a","little","more",2
"be","a","long","day",2
"be","a","part","of",2
"be","able","to","do",2
"be","able","to","go",2
"be","able","to","make",2
"be","able","to","pay",2
"be","able","to","take",2
"be","entered","to","win",2
"be","ever","in","your",2
"be","in","chicago","for",2
"be","in","control","of",2
"be","in","the","next",2
